List the type of the recent files in my drive	GET drive.recent
Tell me about the files I have in my drive ordered by last edited time from newest to oldest.	GET drive.root.children ORDERBY file.lastModifiedDateTime desc
List out the top 16 files named query concept that were shared with anyone arranged in order of last modified time from oldest to newest.	GET drive.root.children FILTER file.sharedWith eq anyone FILTER file.name eq query concept TOP 16 ORDERBY file.lastModifiedDateTime asc
Tell me about the files I have in my drive ordered by last edited time from newest to oldest.	GET drive.root.children ORDERBY file.lastModifiedDateTime desc
List the last modified times of the top 16 presentation files that were lastly edited today arranged in order of last modified time starting from oldest to newest.	GET drive.root.children FILTER file.fileType eq ppt FILTER file.lastModifiedDateTime eq today ORDERBY file.lastModifiedDateTime asc TOP 16
Give me the name of top 18 files that were created last year and were last modified this Friday from newest to oldest order.	GET drive.root.children FILTER file.lastModifiedDateTime eq this Friday FILTER file.createdDateTime eq last year TOP 18 ORDERBY file.lastModifiedDateTime desc
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
List the id's of top 10 files that were shared with anyone ordered by their last edited time starting from newest to oldest.	GET drive.root.children FILTER file.sharedWith eq anyone ORDERBY file.lastModifiedDateTime desc TOP 10
Tell me about the files I have in my drive ordered by last modified time from oldest to newest.	GET drive.root.children ORDERBY file.lastModifiedDateTime asc
Give me the files shared with anyone in my organization and were last modified by Kallie from newest to oldest order.	GET drive.root.children FILTER file.sharedWith eq anyone in my organization FILTER file.lastModifiedBy eq Kallie ORDERBY file.lastModifiedDateTime desc
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
Give me the name of top 18 files that were created last year and were last modified this Friday from newest to oldest order.	GET drive.root.children FILTER file.lastModifiedDateTime eq this Friday FILTER file.createdDateTime eq last year TOP 18 ORDERBY file.lastModifiedDateTime desc
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
What are the top 6 files created last week by Fryberger arranged in order by their last modification time starting from newest to oldest?	GET drive.root.children FILTER file.createdBy eq Fryberger FILTER file.createdDateTime eq last week ORDERBY file.lastModifiedDateTime desc TOP 6
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
Give me the top 16 files in excel format that were last modified by Flossie from oldest to newest order.	GET drive.root.children FILTER file.fileType eq xlsx FILTER file.lastModifiedBy eq Flossie TOP 16 ORDERBY file.lastModifiedDateTime asc
What are the id's of top 10 files that were shared with anyone arrange them in order of last edited time starting from newest to oldest.	GET drive.root.children FILTER file.sharedWith eq anyone ORDERBY file.lastModifiedDateTime desc TOP 10
Provide the Introspection files arranged in order of last modified time from oldest to newest.	GET drive.root.children FILTER file.name eq Introspection ORDERBY file.lastModifiedDateTime asc
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
Which are the Introspection files ordered by last modified time from oldest to newest?	GET drive.root.children FILTER file.name eq Introspection ORDERBY file.lastModifiedDateTime asc
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
What are the Akami named files ordered by last modifiction time from newest to oldest?	GET drive.root.children FILTER file.name eq Akami ORDERBY file.lastModifiedDateTime desc
What are the id's of top 10 files that were shared with anyone arrange them in order of last edited time starting from newest to oldest.	GET drive.root.children FILTER file.sharedWith eq anyone ORDERBY file.lastModifiedDateTime desc TOP 10
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
Give me the top 5 files in jpeg format that were shared with anyone in the order of their last modified time from oldest to newest.	GET drive.root.children FILTER file.sharedWith eq anyone FILTER file.fileType eq jpeg ORDERBY file.lastModifiedDateTime asc TOP 5
Give me the name of top 18 files that were created last year and were last modified this Friday from newest to oldest order.	GET drive.root.children FILTER file.lastModifiedDateTime eq this Friday FILTER file.createdDateTime eq last year TOP 18 ORDERBY file.lastModifiedDateTime desc
Give me the top 11 name of files ordered by last modified time from oldest to newest.	GET drive.root.children TOP 11 ORDERBY file.lastModifiedDateTime asc
Tell me about the jpeg files shared with anyone ordered by modified time from newest to oldest.	GET drive.root.children FILTER file.fileType eq jpeg FILTER file.sharedWith eq anyone ORDERBY file.lastModifiedDateTime desc
List the Akami files ordered by their last modified time and arranged from newest to oldest.	GET drive.root.children FILTER file.name eq Akami ORDERBY file.lastModifiedDateTime desc
Give me the name of top 18 files that were created last year and were last modified this Friday from newest to oldest order.	GET drive.root.children FILTER file.lastModifiedDateTime eq this Friday FILTER file.createdDateTime eq last year TOP 18 ORDERBY file.lastModifiedDateTime desc
Show me the top 11 name of files ordered from oldest to newest.	GET drive.root.children TOP 11 ORDERBY file.lastModifiedDateTime asc
Show me the top 11 name of files ordered from oldest to newest.	GET drive.root.children TOP 11 ORDERBY file.lastModifiedDateTime asc
What are the top 2 files named as Bread ordered in last modified time from newest to oldest?	GET drive.root.children FILTER file.name eq Bread ORDERBY file.lastModifiedDateTime desc TOP 2
Show me the top 11 name of files ordered from oldest to newest.	GET drive.root.children TOP 11 ORDERBY file.lastModifiedDateTime asc
List the last modified times of the top 16 presentation files that were lastly edited today arranged in order of last modified time starting from oldest to newest.	GET drive.root.children FILTER file.fileType eq ppt FILTER file.lastModifiedDateTime eq today ORDERBY file.lastModifiedDateTime asc TOP 16
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
What are the names of top 18 files that were created last year and were modified this friday in the order from newest to oldest?	GET drive.root.children FILTER file.lastModifiedDateTime eq this Friday FILTER file.createdDateTime eq last year TOP 18 ORDERBY file.lastModifiedDateTime desc
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
Give me information about the files that were shared with anyone and were last modified this Thursday in newest to oldest order.	GET drive.sharedWithMe FILTER file.lastModifiedDateTime eq this Thursday FILTER file.sharedWith eq anyone ORDERBY file.lastModifiedDateTime desc
Give me the name of top 18 files that were created last year and were last modified this Friday from newest to oldest order.	GET drive.root.children FILTER file.lastModifiedDateTime eq this Friday FILTER file.createdDateTime eq last year TOP 18 ORDERBY file.lastModifiedDateTime desc
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
show me the id of top 4 document detection files ordered by last modified time from newest to oldest.	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
What are the id's of top 10 files that were shared with anyone arrange them in order of last edited time starting from newest to oldest.	GET drive.root.children FILTER file.sharedWith eq anyone ORDERBY file.lastModifiedDateTime desc TOP 10
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
Tell me about the files I have in my drive ordered by last edited time from newest to oldest.	GET drive.root.children ORDERBY file.lastModifiedDateTime desc
Make a list of xlsx files that are named event and shared with specific users ordered by their last modified time from newest to oldest.	GET drive.root.children FILTER file.name eq event FILTER file.fileType eq xlsx FILTER file.sharedWith eq specific users ORDERBY file.lastModifiedDateTime desc
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
What are the files which were last modified by Kratochvil ordered from oldest to newest?	GET drive.root.children FILTER file.lastModifiedBy eq Kratochvil ORDERBY file.lastModifiedDateTime asc
Show me the top 11 name of files ordered from oldest to newest.	GET drive.root.children TOP 11 ORDERBY file.lastModifiedDateTime asc
What are the id's of top 10 files that were shared with anyone arrange them in order of last edited time starting from newest to oldest.	GET drive.root.children FILTER file.sharedWith eq anyone ORDERBY file.lastModifiedDateTime desc TOP 10
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
Make a list of files arranged in order of last modified time starting from oldest to newest.	GET drive.root.children ORDERBY file.lastModifiedDateTime asc
Give me the top 16 files in excel format that were last modified by Flossie from oldest to newest order.	GET drive.root.children FILTER file.fileType eq xlsx FILTER file.lastModifiedBy eq Flossie TOP 16 ORDERBY file.lastModifiedDateTime asc
Give me the name of top 18 files that were created last year and were last modified this Friday from newest to oldest order.	GET drive.root.children FILTER file.lastModifiedDateTime eq this Friday FILTER file.createdDateTime eq last year TOP 18 ORDERBY file.lastModifiedDateTime desc
What are the top 13 files created today ordered by last modified time from oldest to newest?	GET drive.root.children FILTER file.createdDateTime eq today ORDERBY file.lastModifiedDateTime asc TOP 13
What are the id's of top 10 files that were shared with anyone arrange them in order of last edited time starting from newest to oldest.	GET drive.root.children FILTER file.sharedWith eq anyone ORDERBY file.lastModifiedDateTime desc TOP 10
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
What are the id's of top 10 files that were shared with anyone arrange them in order of last edited time starting from newest to oldest.	GET drive.root.children FILTER file.sharedWith eq anyone ORDERBY file.lastModifiedDateTime desc TOP 10
Tell me about the files I have in my drive ordered by last edited time from newest to oldest.	GET drive.root.children ORDERBY file.lastModifiedDateTime desc
Give me the files which were last modified by Kratochvil ordered from oldest to newest.	GET drive.root.children FILTER file.lastModifiedBy eq Kratochvil ORDERBY file.lastModifiedDateTime asc
What are the id's of top 10 files that were shared with anyone arrange them in order of last edited time starting from newest to oldest.	GET drive.root.children FILTER file.sharedWith eq anyone ORDERBY file.lastModifiedDateTime desc TOP 10
What are the names of top 18 files that were created last year and were modified this friday in the order from newest to oldest?	GET drive.root.children FILTER file.lastModifiedDateTime eq this Friday FILTER file.createdDateTime eq last year TOP 18 ORDERBY file.lastModifiedDateTime desc
Show me the top 11 name of files ordered from oldest to newest.	GET drive.root.children TOP 11 ORDERBY file.lastModifiedDateTime asc
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
What are the top 6 files created last week by Fryberger arranged in order by their last modification time starting from newest to oldest?	GET drive.root.children FILTER file.createdBy eq Fryberger FILTER file.createdDateTime eq last week ORDERBY file.lastModifiedDateTime desc TOP 6
Give me information about the files that were shared with anyone and were last modified this Thursday in newest to oldest order.	GET drive.sharedWithMe FILTER file.lastModifiedDateTime eq this Thursday FILTER file.sharedWith eq anyone ORDERBY file.lastModifiedDateTime desc
What are the names of top 18 files that were created last year and were modified this friday in the order from newest to oldest?	GET drive.root.children FILTER file.lastModifiedDateTime eq this Friday FILTER file.createdDateTime eq last year TOP 18 ORDERBY file.lastModifiedDateTime desc
show me the id of top 4 document detection files ordered by last modified time from newest to oldest.	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
Provide me the files created by Raffield that were last modified from oldest to newest.	GET drive.root.children FILTER file.createdBy eq Raffield ORDERBY file.lastModifiedDateTime asc
What are the id's of top 10 files that were shared with anyone arrange them in order of last edited time starting from newest to oldest.	GET drive.root.children FILTER file.sharedWith eq anyone ORDERBY file.lastModifiedDateTime desc TOP 10
What are the top 17 files that were shared with specific users and were last updated by Angelena Simkowitz in the order from oldest to newest?	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.lastModifiedBy eq Angelena Simkowitz ORDERBY file.lastModifiedDateTime asc TOP 17
What is the size of last 16 files created this Friday?	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
Provide me the number of jpeg files that were modified this Friday.	GET drive.root.children FILTER file.lastModifiedDateTime eq this Friday FILTER file.fileType eq jpeg COUNT
What is the size of last 16 files created this Friday?	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
Give me the size of png files created by Nessel.	GET drive.root.children FILTER file.createdBy eq Nessel FILTER file.fileType eq png
Give me the number of files about process support that were last updated this Monday.	GET drive.root.children FILTER file.name eq process support FILTER file.lastModifiedDateTime eq this Monday COUNT
How many ppt files were created by Yacullo?	GET drive.root.children FILTER file.fileType eq ppt FILTER file.createdBy eq Yacullo COUNT
What are the size of files that were created by Edelmira?	GET drive.root.children FILTER file.createdBy eq Edelmira
What is the size of last 16 files created this Friday?	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
Tell me about the size of top 16 jpeg files that were created this Thursday.	GET drive.root.children FILTER file.fileType eq jpeg FILTER file.createdDateTime eq this Thursday TOP 16
How many jpeg files were created on last Tuesday?	GET drive.root.children FILTER file.createdDateTime eq last Tuesday FILTER file.fileType eq jpeg COUNT
Give me the number of files last modified two hours ago.	GET drive.root.children FILTER file.lastModifiedDateTime eq two hours ago COUNT
How many files I have in my drive?	GET drive.root.children COUNT
What is the size of last 16 files created this Friday?	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
Give me the number of presentation files named Prototyping that were lastly edited by Theola Kuszynski and created by Daughetee.	GET drive.root.children FILTER file.name eq Prototyping FILTER file.createdBy eq Daughetee FILTER file.fileType eq ppt FILTER file.lastModifiedBy eq Theola Kuszynski COUNT
What is the size of last 16 files created this Friday?	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
What is the size of last 16 files created this Friday?	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
Give me the number of files that were shared with anyone.	GET drive.root.children FILTER file.sharedWith eq anyone COUNT
Provide me the number of jpeg files that were modified this Friday.	GET drive.root.children FILTER file.lastModifiedDateTime eq this Friday FILTER file.fileType eq jpeg COUNT
How many files do I have in my drive?	GET drive.root.children COUNT
How many files were created by Elory?	GET drive.root.children FILTER file.createdBy eq Elroy COUNT
Give me the size of the top 16 files created this Friday in the order newest to oldest.	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
Give me the information of the top 10 files named collective action last modified by Marni.	GET drive.root.children FILTER file.lastModifiedBy eq Marni FILTER file.name eq collective action TOP 10
Give me the number of presentation files named Prototyping that were lastly edited by Theola Kuszynski and created by Daughetee.	GET drive.root.children FILTER file.name eq Prototyping FILTER file.createdBy eq Daughetee FILTER file.fileType eq ppt FILTER file.lastModifiedBy eq Theola Kuszynski COUNT
Provide me the sizes of the files that were created by Nickles and shared with anyone in my organization.	GET drive.root.children FILTER file.sharedWith eq anyone in my organization FILTER file.createdBy eq Nickles
What is the size of last 16 files created this Friday?	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
How many jpeg files were created on last Tuesday?	GET drive.root.children FILTER file.createdDateTime eq last Tuesday FILTER file.fileType eq jpeg COUNT
What are the size of files that were created by Edelmira?	GET drive.root.children FILTER file.createdBy eq Edelmira
Give me the size of the Pesticides files created this Thursday.	GET drive.root.children FILTER file.name eq Pesticides FILTER file.createdDateTime eq this Thursday
How many Prototyping presentation files were created by Daughetee and lastly edited by Theola Kuszynski?	GET drive.root.children FILTER file.name eq Prototyping FILTER file.createdBy eq Daughetee FILTER file.fileType eq ppt FILTER file.lastModifiedBy eq Theola Kuszynski COUNT
What is the size of last 16 files created this Friday?	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
Provide me the number of jpeg files that were modified this Friday.	GET drive.root.children FILTER file.lastModifiedDateTime eq this Friday FILTER file.fileType eq jpeg COUNT
Provide me the number of powerpoint files created by Yacullo.	GET drive.root.children FILTER file.fileType eq ppt FILTER file.createdBy eq Yacullo COUNT
What is the size of last 16 files created this Friday?	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
How many files did Bulmer create?	GET drive.root.children FILTER file.createdBy eq Bulmer COUNT
Give me the size of the top 16 files created this Friday in the order newest to oldest.	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
Give me the number of presentation files named Prototyping that were lastly edited by Theola Kuszynski and created by Daughetee.	GET drive.root.children FILTER file.name eq Prototyping FILTER file.createdBy eq Daughetee FILTER file.fileType eq ppt FILTER file.lastModifiedBy eq Theola Kuszynski COUNT
What is the size of last 16 files created this Friday?	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
What are the size of the top 2 pdf files?	GET drive.root.children FILTER file.fileType eq pdf TOP 2
What are the sizes of the ppt files in my drive?	GET drive.root.children FILTER file.fileType eq ppt
Provide me with the number of document files that were shared with specific users.	GET drive.root.children FILTER file.fileType eq doc FILTER file.sharedWith eq specific users COUNT
What is the size of png files created by Nessel?	GET drive.root.children FILTER file.createdBy eq Nessel FILTER file.fileType eq png
Give me the number of files that were shared with anyone.	GET drive.root.children FILTER file.sharedWith eq anyone COUNT
What are the sizes of the ppt files in my drive?	GET drive.root.children FILTER file.fileType eq ppt
What is the size of files created by Charlott Matrone this Wednesday and last edited yesterday?	GET drive.root.children FILTER file.createdBy eq Charlott Matrone FILTER file.lastModifiedDateTime eq yesterday FILTER file.createdDateTime eq this Wednesday
How many files do I have in my drive?	GET drive.root.children COUNT
What is the size of last 16 files created this Friday?	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
Give me the number of files that were shared with anyone.	GET drive.root.children FILTER file.sharedWith eq anyone COUNT
How many Freshwater files were created by Gaston?	GET drive.root.children FILTER file.createdBy eq Gaston FILTER file.name eq Freshwater COUNT
What is the size of png files created by Nessel?	GET drive.root.children FILTER file.createdBy eq Nessel FILTER file.fileType eq png
What is the size of last 16 files created this Friday?	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
Tell me about the size of the files which were created by Edelmira.	GET drive.root.children FILTER file.createdBy eq Edelmira
How many files were last modified by  Lael Chavarin?	GET drive.root.children FILTER file.lastModifiedBy eq Lael Chavarin COUNT
What were the size top 16 files created by Tonie and shared with anyone?	GET drive.root.children FILTER file.createdBy eq Tonie FILTER file.sharedWith eq anyone TOP 16
What is the size of last 16 files created this Friday?	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
Give me the number of jpeg files that were updated this Friday.	GET drive.root.children FILTER file.lastModifiedDateTime eq this Friday FILTER file.fileType eq jpeg COUNT
How many files did Bulmer create?	GET drive.root.children FILTER file.createdBy eq Bulmer COUNT
Provide me the number of powerpoint files created by Yacullo.	GET drive.root.children FILTER file.fileType eq ppt FILTER file.createdBy eq Yacullo COUNT
Give me the size of the top 16 files created this Friday in the order newest to oldest.	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
Provide me the number of jpeg files that were modified this Friday.	GET drive.root.children FILTER file.lastModifiedDateTime eq this Friday FILTER file.fileType eq jpeg COUNT
How many jpeg files were created on last Tuesday?	GET drive.root.children FILTER file.createdDateTime eq last Tuesday FILTER file.fileType eq jpeg COUNT
How many prohibition files were last edited by Marcoguisepp?	GET drive.root.children FILTER file.name eq prohibition FILTER file.lastModifiedBy eq Marcoguisepp COUNT
Give me the size of png files created by Nessel.	GET drive.root.children FILTER file.createdBy eq Nessel FILTER file.fileType eq png
Give me the size of the top 16 files created this Friday in the order newest to oldest.	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
What is the size of last 16 files created this Friday?	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
Give me the size of top 2 pdf files. 	GET drive.root.children FILTER file.fileType eq pdf TOP 2
What is the size of last 16 files created this Friday?	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
What is the size of last 16 files created this Friday?	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
What is the size of last 16 files created this Friday?	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
How many files do I have in my drive?	GET drive.root.children COUNT
Give me the number of presentation files named Prototyping that were lastly edited by Theola Kuszynski and created by Daughetee.	GET drive.root.children FILTER file.name eq Prototyping FILTER file.createdBy eq Daughetee FILTER file.fileType eq ppt FILTER file.lastModifiedBy eq Theola Kuszynski COUNT
How many files do I have in my drive?	GET drive.root.children COUNT
How many prohibition files were last edited by Marcoguisepp?	GET drive.root.children FILTER file.name eq prohibition FILTER file.lastModifiedBy eq Marcoguisepp COUNT
How many files did Bulmer create?	GET drive.root.children FILTER file.createdBy eq Bulmer COUNT
Provide me the number of powerpoint files created by Yacullo.	GET drive.root.children FILTER file.fileType eq ppt FILTER file.createdBy eq Yacullo COUNT
What is the size of last 16 files created this Friday?	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
How many files were created by Elory?	GET drive.root.children FILTER file.createdBy eq Elroy COUNT
Give me the information of the top 10 files named collective action last modified by Marni.	GET drive.root.children FILTER file.lastModifiedBy eq Marni FILTER file.name eq collective action TOP 10
What is the size of Pesticides file created this Thursday?	GET drive.root.children FILTER file.name eq Pesticides FILTER file.createdDateTime eq this Thursday
What is the size of last 16 files created this Friday?	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
Give me the number of image files created on last Tuesday.	GET drive.root.children FILTER file.createdDateTime eq last Tuesday FILTER file.fileType eq jpeg COUNT
Provide me the number of powerpoint files created by Yacullo.	GET drive.root.children FILTER file.fileType eq ppt FILTER file.createdBy eq Yacullo COUNT
What are the sizes of the ppt files in my drive?	GET drive.root.children FILTER file.fileType eq ppt
What is the size of files created by Charlott Matrone this Wednesday and last edited yesterday?	GET drive.root.children FILTER file.createdBy eq Charlott Matrone FILTER file.lastModifiedDateTime eq yesterday FILTER file.createdDateTime eq this Wednesday
How many files I have in my drive?	GET drive.root.children COUNT
Give me the number of files.	GET drive.root.children COUNT
What is the size of png files created by Nessel?	GET drive.root.children FILTER file.createdBy eq Nessel FILTER file.fileType eq png
What is the size of last 16 files created this Friday?	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
Give me the number of files that were shared with anyone and were last edited by Smart.	GET drive.root.children FILTER file.sharedWith eq anyone FILTER file.lastModifiedBy eq Smart COUNT
What is the size of last 16 files created this Friday?	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
How many files did Yonashiro create?	GET drive.root.children FILTER file.createdBy eq Yonashiro COUNT
How many files did Bulmer create?	GET drive.root.children FILTER file.createdBy eq Bulmer COUNT
What is the size of last 16 files created this Friday?	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
What are the sizes of files that were created by Nickles and shared with anyone in my organization.	GET drive.root.children FILTER file.sharedWith eq anyone in my organization FILTER file.createdBy eq Nickles
What is the size of last 16 files created this Friday?	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
Provide me the number of jpeg files that were modified this Friday.	GET drive.root.children FILTER file.lastModifiedDateTime eq this Friday FILTER file.fileType eq jpeg COUNT
How many Mediaplex files were created by Maragret?	GET drive.root.children FILTER file.createdBy eq Maragret FILTER file.name eq Mediaplex COUNT
How many files do I have in my drive?	GET drive.root.children COUNT
How many Epicentric files did Severo created in jpeg format?	GET drive.root.children FILTER file.fileType eq jpeg FILTER file.createdBy eq Severo FILTER file.name eq Epicentric COUNT
What is the size of last 16 files created this Friday?	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
Give me the size of png files created by Nessel.	GET drive.root.children FILTER file.createdBy eq Nessel FILTER file.fileType eq png
Give me the number of files that were shared with anyone.	GET drive.root.children FILTER file.sharedWith eq anyone COUNT
Give me the size of the top 16 files created this Friday in the order newest to oldest.	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
How many process support files were last modified this Monday?	GET drive.root.children FILTER file.name eq process support FILTER file.lastModifiedDateTime eq this Monday COUNT
What is the size of last 16 files created this Friday?	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
What is the size of last 16 files created this Friday?	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
What are the sizes of files that were created by Nickles and shared with anyone in my organization.	GET drive.root.children FILTER file.sharedWith eq anyone in my organization FILTER file.createdBy eq Nickles
Give me the number of jpeg files that were updated this Friday.	GET drive.root.children FILTER file.lastModifiedDateTime eq this Friday FILTER file.fileType eq jpeg COUNT
What are the sizes of files that were created by Nickles and shared with anyone in my organization.	GET drive.root.children FILTER file.sharedWith eq anyone in my organization FILTER file.createdBy eq Nickles
How many files were last modified by  Lael Chavarin?	GET drive.root.children FILTER file.lastModifiedBy eq Lael Chavarin COUNT
Provide me the number of jpeg files that were modified this Friday.	GET drive.root.children FILTER file.lastModifiedDateTime eq this Friday FILTER file.fileType eq jpeg COUNT
Provide me the sizes of the files that were created by Nickles and shared with anyone in my organization.	GET drive.root.children FILTER file.sharedWith eq anyone in my organization FILTER file.createdBy eq Nickles
What is the size of last 16 files created this Friday?	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
Give me the size of the top 16 files created this Friday in the order newest to oldest.	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
Give me the number of files that were shared with anyone.	GET drive.root.children FILTER file.sharedWith eq anyone COUNT
Give me the number of files created by Bulmer.	GET drive.root.children FILTER file.createdBy eq Bulmer COUNT
Give me the number of jpeg files that were updated this Friday.	GET drive.root.children FILTER file.lastModifiedDateTime eq this Friday FILTER file.fileType eq jpeg COUNT
Give me the size of the top 16 files created this Friday in the order newest to oldest.	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
Give me the number of files I have in pdf format.	GET drive.root.children FILTER file.fileType eq pdf COUNT
How many PACKAGING MATERIALS files were modified last Thursday?	GET drive.root.children FILTER file.lastModifiedDateTime eq last Thursday FILTER file.name eq PACKAGING MATERIALS COUNT
How many prohibition files were last edited by Marcoguisepp?	GET drive.root.children FILTER file.name eq prohibition FILTER file.lastModifiedBy eq Marcoguisepp COUNT
What are the sizes of the top 8 files about salesforce that were last modified by Nicoletta?	GET drive.root.children FILTER file.name eq salesforce FILTER file.lastModifiedBy eq Nicoletta TOP 8
Give me the information of the top 10 files named collective action last modified by Marni.	GET drive.root.children FILTER file.lastModifiedBy eq Marni FILTER file.name eq collective action TOP 10
